startstation	endstation	rides
Columbus Ave & W 72 St	1 Ave & E 68 St	2 
Columbus Ave & W 72 St	11 Ave & W 27 St	3 
Columbus Ave & W 72 St	11 Ave & W 41 St	1 
Columbus Ave & W 72 St	24 St & 41 Ave	1 
Columbus Ave & W 72 St	3 Ave & E 62 St	1 
Columbus Ave & W 72 St	5 Ave & E 29 St	1 
Columbus Ave & W 72 St	5 Ave & E 63 St	1 
Columbus Ave & W 72 St	5 Ave & E 73 St	4 
Columbus Ave & W 72 St	5 Ave & E 93 St	1 
Columbus Ave & W 72 St	8 Ave & W 16 St	1 
Columbus Ave & W 72 St	9 Ave & W 28 St	1 
Columbus Ave & W 72 St	9 Ave & W 45 St	1 
Columbus Ave & W 72 St	9 St & 44 Rd	1 
Columbus Ave & W 72 St	Amsterdam Ave & W 119 St	1 
Columbus Ave & W 72 St	Amsterdam Ave & W 73 St	2 
Columbus Ave & W 72 St	Amsterdam Ave & W 79 St	1 
Columbus Ave & W 72 St	Amsterdam Ave & W 82 St	2 
Columbus Ave & W 72 St	Barclay St & Church St	1 
