startstation,endstation,count,totaltime
1 Ave & E 68 St,Columbus Ave & W 72 St,2,1734
11 Ave & W 27 St,Columbus Ave & W 72 St,3,4126
11 Ave & W 41 St,Columbus Ave & W 72 St,1,1166
24 St & 41 Ave,Columbus Ave & W 72 St,1,1472
3 Ave & E 62 St,Columbus Ave & W 72 St,1,644
5 Ave & E 29 St,Columbus Ave & W 72 St,1,1203
5 Ave & E 63 St,Columbus Ave & W 72 St,1,430
5 Ave & E 73 St,Columbus Ave & W 72 St,4,1630
5 Ave & E 93 St,Columbus Ave & W 72 St,1,775
8 Ave & W 16 St,Columbus Ave & W 72 St,1,2025
9 Ave & W 28 St,Columbus Ave & W 72 St,1,1577
9 Ave & W 45 St,Columbus Ave & W 72 St,1,2558
9 St & 44 Rd,Columbus Ave & W 72 St,1,1592
Amsterdam Ave & W 119 St,Columbus Ave & W 72 St,1,1054
Amsterdam Ave & W 73 St,Columbus Ave & W 72 St,2,1087
Amsterdam Ave & W 79 St,Columbus Ave & W 72 St,1,268
Amsterdam Ave & W 82 St,Columbus Ave & W 72 St,2,678
Barclay St & Church St,Columbus Ave & W 72 St,1,1922
Broadway & Battery Pl,Columbus Ave & W 72 St,1,2032
Broadway & W 122 St,Columbus Ave & W 72 St,1,1778
Broadway & W 32 St,Columbus Ave & W 72 St,1,969
Broadway & W 49 St,Columbus Ave & W 72 St,2,1425
Broadway & W 53 St,Columbus Ave & W 72 St,1,659
Broadway & W 56 St,Columbus Ave & W 72 St,5,2117
Broadway & W 58 St,Columbus Ave & W 72 St,4,2309
Broadway & W 60 St,Columbus Ave & W 72 St,5,2269
Central Park S & 6 Ave,Columbus Ave & W 72 St,2,1888
Central Park West & W 102 St,Columbus Ave & W 72 St,2,1460
Central Park West & W 68 St,Columbus Ave & W 72 St,3,1253
Central Park West & W 85 St,Columbus Ave & W 72 St,2,1146
Christopher St & Greenwich St,Columbus Ave & W 72 St,1,1691
Columbus Ave & W 72 St,Columbus Ave & W 72 St,5,3252
Columbus Ave & W 95 St,Columbus Ave & W 72 St,3,1624
Duane St & Greenwich St,Columbus Ave & W 72 St,1,3060
E 110 St & Madison Ave,Columbus Ave & W 72 St,1,941
E 16 St & Irving Pl,Columbus Ave & W 72 St,2,3462
E 30 St & Park Ave S,Columbus Ave & W 72 St,1,1012
E 39 St & 3 Ave,Columbus Ave & W 72 St,1,1641
E 47 St & Park Ave,Columbus Ave & W 72 St,3,2807
E 51 St & 1 Ave,Columbus Ave & W 72 St,2,3087
E 53 St & 3 Ave,Columbus Ave & W 72 St,1,873
E 55 St & 3 Ave,Columbus Ave & W 72 St,3,2561
E 59 St & Madison Ave,Columbus Ave & W 72 St,2,1286
E 67 St & Park Ave,Columbus Ave & W 72 St,2,1190
E 71 St & 1 Ave,Columbus Ave & W 72 St,1,650
E 72 St & York Ave,Columbus Ave & W 72 St,2,2113
E 75 St & 3 Ave,Columbus Ave & W 72 St,2,1192
E 76 St & Park Ave,Columbus Ave & W 72 St,2,1575
E 78 St & 2 Ave,Columbus Ave & W 72 St,2,1623
E 85 St & 3 Ave,Columbus Ave & W 72 St,2,1923
E 85 St & York Ave,Columbus Ave & W 72 St,1,737
E 91 St & Park Ave,Columbus Ave & W 72 St,1,899
E 93 St & 2 Ave,Columbus Ave & W 72 St,1,986
E 95 St & 3 Ave,Columbus Ave & W 72 St,1,1012
E 97 St & Madison Ave,Columbus Ave & W 72 St,1,1528
Grand Army Plaza & Central Park S,Columbus Ave & W 72 St,5,3141
Greenwich Ave & 8 Ave,Columbus Ave & W 72 St,1,1909
LaGuardia Pl & W 3 St,Columbus Ave & W 72 St,1,2095
Lexington Ave & E 24 St,Columbus Ave & W 72 St,1,1488
MacDougal St & Prince St,Columbus Ave & W 72 St,1,1928
Madison Ave & E 82 St,Columbus Ave & W 72 St,1,629
Murray St & Greenwich St,Columbus Ave & W 72 St,1,2025
Pier 40 - Hudson River Park,Columbus Ave & W 72 St,2,3649
Riverside Blvd & W 67 St,Columbus Ave & W 72 St,3,1307
Riverside Dr & W 72 St,Columbus Ave & W 72 St,4,3038
Riverside Dr & W 82 St,Columbus Ave & W 72 St,1,762
Riverside Dr & W 91 St,Columbus Ave & W 72 St,1,536
University Pl & E 14 St,Columbus Ave & W 72 St,1,1682
W 100 St & Broadway,Columbus Ave & W 72 St,1,751
W 100 St & Manhattan Ave,Columbus Ave & W 72 St,1,777
W 106 St & Central Park West,Columbus Ave & W 72 St,1,1447
W 113 St & Broadway,Columbus Ave & W 72 St,1,804
W 18 St & 6 Ave,Columbus Ave & W 72 St,1,1668
W 37 St & 10 Ave,Columbus Ave & W 72 St,1,776
W 38 St & 8 Ave,Columbus Ave & W 72 St,2,1645
W 41 St & 8 Ave,Columbus Ave & W 72 St,1,1203
W 42 St & 8 Ave,Columbus Ave & W 72 St,1,828
W 42 St & Dyer Ave,Columbus Ave & W 72 St,1,1009
W 43 St & 6 Ave,Columbus Ave & W 72 St,1,861
W 45 St & 8 Ave,Columbus Ave & W 72 St,1,543
W 52 St & 11 Ave,Columbus Ave & W 72 St,1,725
W 52 St & 5 Ave,Columbus Ave & W 72 St,1,889
W 52 St & 6 Ave,Columbus Ave & W 72 St,2,1509
W 55 St & 6 Ave,Columbus Ave & W 72 St,1,510
W 59 St & 10 Ave,Columbus Ave & W 72 St,2,785
W 63 St & Broadway,Columbus Ave & W 72 St,1,465
W 64 St & West End Ave,Columbus Ave & W 72 St,1,624
W 67 St & Broadway,Columbus Ave & W 72 St,1,639
W 74 St & Columbus Ave,Columbus Ave & W 72 St,6,586
W 76 St & Columbus Ave,Columbus Ave & W 72 St,5,3201
W 78 St & Broadway,Columbus Ave & W 72 St,1,327
W 84 St & Broadway,Columbus Ave & W 72 St,1,436
W 84 St & Columbus Ave,Columbus Ave & W 72 St,4,1641
W 87 St  & Amsterdam Ave,Columbus Ave & W 72 St,1,538
W 89 St & Columbus Ave,Columbus Ave & W 72 St,2,1032
W 90 St & Amsterdam Ave,Columbus Ave & W 72 St,3,2151
W 92 St & Broadway,Columbus Ave & W 72 St,1,619
West End Ave & W 94 St,Columbus Ave & W 72 St,2,1386
