startstation,count
1 Ave & E 16 St,2
1 Ave & E 18 St,1
3 Ave & E 62 St,1
6 Ave & Spring St,2
8 Ave & W 33 St,3
9 Ave & W 18 St,1
9 Ave & W 45 St,1
Allen St & Rivington St,3
Amsterdam Ave & W 73 St,2
Amsterdam Ave & W 82 St,1
Avenue D & E 8 St,1
Bank St & Washington St,2
Barclay St & Church St,3
Bayard St & Baxter St,2
Broad St & Bridge St,2
Broadway & E 14 St,7
Broadway & E 22 St,2
Broadway & W 25 St,1
Broadway & W 29 St,4
Broadway & W 56 St,1
Broadway & W 60 St,1
Carmine St & 6 Ave,4
Central Park West & W 85 St,1
Centre St & Chambers St,5
Centre St & Worth St,5
Christopher St & Greenwich St,2
Cleveland Pl & Spring St,9
Columbia Heights & Cranberry St,1
Douglass St & 4 Ave,1
E 10 St & 5 Ave,1
E 10 St & Avenue A,7
E 11 St & 1 Ave,6
E 11 St & 2 Ave,4
E 12 St & 3 Ave,4
E 13 St & Avenue A,2
E 15 St & 3 Ave,1
E 16 St & 5 Ave,3
E 17 St & Broadway,3
E 2 St & 2 Ave,2
E 2 St & Avenue B,11
E 20 St & 2 Ave,1
E 20 St & FDR Drive,1
E 23 St & 1 Ave,1
E 24 St & Park Ave S,1
E 25 St & 2 Ave,2
E 27 St & 1 Ave,3
E 31 St & 3 Ave,4
E 39 St & 2 Ave,1
E 4 St & 2 Ave,5
E 45 St & 3 Ave,2
E 6 St & Avenue D,1
E 7 St & Avenue A,4
E 9 St & Avenue C,5
E 93 St & 2 Ave,1
Forsyth St & Broome St,3
Fulton St & Broadway,1
Grand St & Elizabeth St,1
Great Jones St,1
Greenwich Ave & 8 Ave,2
Greenwich Ave & Charles St,2
Hanson Pl & Ashland Pl,1
Henry St & Grand St,2
Howard St & Centre St,9
Hudson St & Reade St,1
John St & William St,1
Lafayette St & E 8 St,2
Lafayette St & Jersey St,11
LaGuardia Pl & W 3 St,5
Lexington Ave & Classon Ave,1
Lexington Ave & E 24 St,1
Lexington Ave & E 29 St,1
Lispenard St & Broadway,1
MacDougal St & Prince St,1
MacDougal St & Washington Sq,6
Madison St & Clinton St,2
Madison St & Montgomery St,1
Mercer St & Bleecker St,3
Mott St & Prince St,1
Murray St & Greenwich St,1
Old Fulton St,2
Rivington St & Ridge St,1
S 3 St & Bedford Ave,1
S 5 Pl & S 4 St,1
St Marks Pl & 1 Ave,10
St Marks Pl & 2 Ave,1
Stanton St & Chrystie St,1
Stanton St & Mangin St,1
Suffolk St & Stanton St,1
Sullivan St & Washington Sq,3
Union St & 4 Ave,1
University Pl & E 14 St,7
University Pl & E 8 St,5
W 11 St & 6 Ave,3
W 13 St & 5 Ave,2
W 13 St & 6 Ave,3
W 17 St & 8 Ave,1
W 18 St & 6 Ave,6
W 20 St & 11 Ave,1
W 20 St & 7 Ave,1
W 21 St & 6 Ave,2
W 22 St & 8 Ave,2
W 24 St & 7 Ave,1
W 27 St & 10 Ave,4
W 31 St & 7 Ave,4
W 33 St & 7 Ave,2
W 4 St & 7 Ave S,6
W 42 St & 8 Ave,1
W 46 St & 11 Ave,1
W 52 St & 11 Ave,1
W Broadway & Spring Street,1
Washington Pl & 6 Ave,1
Washington Pl & Broadway,1
Washington St & Gansevoort St,3
Watts St & Greenwich St,1
West St & Chambers St,1
Wythe Ave & Metropolitan Ave,6
