endstation,count
1 Ave & E 62 St,1
1 Ave & E 68 St,1
8 Ave & W 33 St,1
9 Ave & W 22 St,1
Amsterdam Ave & W 73 St,1
Broadway & W 25 St,1
Broadway & W 41 St,3
Broadway & W 58 St,2
E 11 St & 1 Ave,1
E 11 St & 2 Ave,2
E 31 St & 3 Ave,1
E 33 St & 2 Ave,1
E 39 St & 2 Ave,1
E 45 St & 3 Ave,1
E 52 St & 2 Ave,1
E 6 St & Avenue B,2
E 88 St & Park Ave,1
E 9 St & Avenue C,1
E 97 St & Madison Ave,1
Grand Army Plaza & Central Park S,1
Howard St & Centre St,1
Lispenard St & Broadway,2
Norfolk St & Broome St,6
Riverside Blvd & W 67 St,1
S 4 St & Wythe Ave,1
W 22 St & 10 Ave,1
W 27 St & 10 Ave,2
W 33 St & 7 Ave,1
W 38 St & 8 Ave,1
W 45 St & 8 Ave,2
W 52 St & 5 Ave,1
Washington Pl & 6 Ave,1
